Date,USA
2022-04-04,12758.001940658816
2022-04-05,12585.116867577382
2022-04-06,12451.176670413057
2022-04-07,12501.149287418863
2022-04-08,12460.429998816116
2022-04-11,12254.251945965781
2022-04-12,12212.370775609716
2022-04-13,12361.76291191923
2022-04-14,12203.632059110252
2022-04-15,12203.632059110252
2022-04-18,12190.494404612835
2022-04-19,12397.188467734
2022-04-20,12377.01033553828
2022-04-21,12181.12897576493
2022-04-22,11845.231640795526
2022-04-25,11921.237776787792
2022-04-26,11579.309295948427
2022-04-27,11597.997039619882
2022-04-28,11887.73313717868
2022-04-29,11453.18186715852
2022-05-02,11526.20142413915
2022-05-03,11575.449746436065
2022-05-04,11920.01058224021
2022-05-05,11480.284810531712
2022-05-06,11401.824819451096
2022-05-09,11016.388833084575
2022-05-10,11044.588640419322
2022-05-11,10850.403207131389
2022-05-12,10850.140335010781
2022-05-13,11130.034264945327
2022-05-16,11072.6496514903
2022-05-17,11297.632994874753
2022-05-18,10839.116719075582
2022-05-19,10790.092721919003
2022-05-20,10792.068575913125
2022-05-23,10986.879056275582
2022-05-24,10878.142083182689
2022-05-25,10990.462326492054
2022-05-26,11215.03144263823
2022-05-27,11500.69681969287
2022-05-30,11500.69681969287
2022-05-31,11422.187582374125
2022-06-01,11336.641872757686
2022-06-02,11563.794578504707
2022-06-03,11370.045828462034
2022-06-06,11406.469733000928
2022-06-07,11520.04857248084
2022-06-08,11398.9869968402
2022-06-09,11121.813964598196
2022-06-10,10792.18870589881
2022-06-13,10360.87508526929
2022-06-14,10324.676592708323
2022-06-15,10483.499044814924
2022-06-16,10132.455469830926
2022-06-17,10166.153386510332
2022-06-20,10166.153386510332
2022-06-21,10414.944150408399
2022-06-22,10403.206965395239
2022-06-23,10514.443665047598
2022-06-24,10840.265991429516
2022-06-27,10805.04150755847
2022-06-28,10581.31018421632
2022-06-29,10570.522756909686
2022-06-30,10472.175517469339
2022-07-01,10587.650512498827
2022-07-04,10587.650512498827
2022-07-05,10620.04318727609
2022-07-06,10651.029691944126
2022-07-07,10819.632089507395
2022-07-08,10809.236757320328
2022-07-11,10676.562209112253
2022-07-12,10576.39203209495
2022-07-13,10530.293137425806
2022-07-14,10493.520412104059
2022-07-15,10698.20205989876
2022-07-18,10612.773334198051
2022-07-19,10907.02774395781
2022-07-20,10985.01580269074
2022-07-21,11097.408172245798
2022-07-22,10982.645666871236
2022-07-25,10993.618086108236
2022-07-26,10857.304451129316
2022-07-27,11146.708821074953
2022-07-28,11283.72466533549
2022-07-29,11445.397714746834
2022-08-01,11416.252049398516
2022-08-02,11350.655371509461
2022-08-03,11536.121230518484
2022-08-04,11532.861412393095
2022-08-05,11518.931862261072
2022-08-08,11508.8139135716
2022-08-09,11450.751660151165
2022-08-10,11710.95066201957
2022-08-11,11698.971960742083
2022-08-12,11904.781167706391
2022-08-15,11951.214441139855
2022-08-16,11970.451888429989
2022-08-17,11876.215413318232
2022-08-18,11901.97707059879
2022-08-19,11739.876858652668
2022-08-22,11488.590796767652
2022-08-23,11464.441762212971
2022-08-24,11502.431462297487
2022-08-25,11670.43597479282
2022-08-26,11275.678242511474
2022-08-29,11197.943277544031
2022-08-30,11075.558873446795
2022-08-31,10991.540471192713
2022-09-01,11014.038466235868
2022-09-02,10900.286323190609
2022-09-05,10900.286323190609
2022-09-06,10855.035791542501
2022-09-07,11057.213834299444
2022-09-08,11138.011977798818
2022-09-09,11316.863641667776
2022-09-12,11438.420129585294
2022-09-13,10943.878212075424
2022-09-14,10985.340841265845
2022-09-15,10862.28270167814
2022-09-16,10774.235105366395
2022-09-19,10847.875156168644
2022-09-20,10722.750825292087
2022-09-21,10539.308413114572
2022-09-22,10439.480297303504
2022-09-23,10257.704316813022
2022-09-26,10149.367167608325
2022-09-27,10132.88696714101
2022-09-28,10336.857573825031
2022-09-29,10116.62862549845
2022-09-30,9968.055263431786
2022-10-03,10227.13483254323
2022-10-04,10548.681606084108
2022-10-05,10527.634714266827
2022-10-06,10425.50382857055
2022-10-07,10126.899759416401
2022-10-10,10045.732151931716
2022-10-11,9975.321514221905
2022-10-12,9945.317839773828
2022-10-13,10194.47609597829
2022-10-14,9947.20010443454
2022-10-17,10219.129031393351
2022-10-18,10338.451878179898
2022-10-19,10263.155546668588
2022-10-20,10186.343134347508
2022-10-21,10423.567831735423
2022-10-24,10539.914907223976
2022-10-25,10720.888024181364
2022-10-26,10642.448010602477
2022-10-27,10580.262150857021
2022-10-28,10836.167735895806
2022-10-31,10756.159466802354
