Date,UK
2002-07-15,2306.791775923035
2002-07-16,2330.8943661813582
2002-07-17,2421.229030228306
2002-07-18,2486.7763964230476
2002-07-19,2384.3465334822763
2002-07-22,2261.8648684611107
2002-07-23,2225.4352202862365
2002-07-24,2194.7195957441972
2002-07-25,2305.587278791652
2002-07-26,2320.146801008633
2002-07-29,2416.464208441362
2002-07-30,2425.458417900329
2002-07-31,2450.094288497896
2002-08-01,2326.8322646620004
2002-08-02,2365.747838475925
2002-08-05,2317.340606528136
2002-08-06,2347.7920795634936
2002-08-07,2321.7795158538997
2002-08-08,2397.176679180002
2002-08-09,2433.9251763275497
2002-08-12,2387.724430940967
2002-08-13,2416.531891127585
2002-08-14,2389.724548164997
2002-08-15,2461.3633465267953
2002-08-16,2470.5915044967787
2002-08-19,2508.480180438648
2002-08-20,2470.906704430586
2002-08-21,2480.974892120296
2002-08-22,2509.0209527306865
2002-08-23,2480.2593345992805
2002-08-26,2484.8255297053875
2002-08-27,2527.7768465409517
2002-08-28,2439.9904298640686
2002-08-29,2420.662301863151
2002-08-30,2424.5390959100782
2002-09-02,2405.9145554923657
2002-09-03,2340.6269328086983
2002-09-04,2339.6685431227997
2002-09-05,2333.2851418795435
2002-09-06,2378.7274517360333
2002-09-09,2349.9834530647327
2002-09-10,2405.1643022961043
2002-09-11,2417.080355674651
2002-09-12,2357.023211918341
2002-09-13,2322.7040498445085
2002-09-16,2318.8071390809832
2002-09-17,2291.8373136154137
2002-09-18,2224.1758213387875
2002-09-19,2200.8678335360355
2002-09-20,2228.169369462296
2002-09-23,2167.1823051050974
2002-09-24,2121.899894652048
2002-09-25,2142.802442249099
2002-09-26,2226.9818397992462
2002-09-27,2251.5118350774073
2002-09-30,2173.5711179897585
2002-10-01,2210.757031379719
2002-10-02,2265.132848589651
2002-10-03,2256.5969869258715
2002-10-04,2214.9441128807152
2002-10-07,2193.8873921651125
2002-10-08,2150.4060984979956
2002-10-09,2160.513641533457
2002-10-10,2184.6550633467987
2002-10-11,2283.472792235624
2002-10-14,2267.947724168169
2002-10-15,2377.42873636357
2002-10-16,2334.390257172631
2002-10-17,2394.1289954819727
2002-10-18,2368.471322228783
2002-10-21,2366.11725310404
2002-10-22,2358.333482152862
2002-10-23,2298.290647690378
2002-10-24,2350.37904514645
2002-10-25,2333.521649967034
2002-10-28,2355.316249981449
2002-10-29,2274.2759547715286
2002-10-30,2310.947208882916
2002-10-31,2343.8985569833585
2002-11-01,2318.107809715781
2002-11-04,2383.98177246094
2002-11-05,2396.9586459774355
2002-11-06,2369.1234155766388
2002-11-07,2386.2709401519337
2002-11-08,2374.539729147919
2002-11-11,2361.9270485846755
2002-11-12,2401.5046925905845
2002-11-13,2370.99957951762
2002-11-14,2373.556744308593
2002-11-15,2394.669949343646
2002-11-18,2413.6710606952324
2002-11-19,2414.6507996208993
2002-11-20,2394.5976766491603
2002-11-21,2454.750461660331
2002-11-22,2450.925196765922
