Date,GERMANY
2014-11-24,5155.943893482814
2014-11-25,5215.662204164303
2014-11-26,5261.049450592244
2014-11-27,5270.770926924453
2014-11-28,5265.518821642344
2014-12-01,5260.553338760855
2014-12-02,5214.902441923902
2014-12-03,5200.923667710403
2014-12-04,5188.537282430093
2014-12-05,5246.173809895282
2014-12-08,5207.994738426624
2014-12-09,5153.4358436821285
2014-12-10,5151.761381033478
2014-12-11,5170.72867495512
2014-12-12,5067.213659955539
2014-12-15,4919.081193835109
2014-12-16,5068.122042015585
2014-12-17,5013.099595758411
2014-12-18,5102.836755614273
2014-12-19,5087.612069282209
2014-12-22,5126.595683214031
2014-12-23,5121.8462399567725
2014-12-24,5127.314478048131
2014-12-25,5127.314478048131
2014-12-26,5119.322437760762
2014-12-29,5125.234541029617
2014-12-30,5059.451347056724
2014-12-31,5032.832506478678
2015-01-01,5032.832506478678
2015-01-02,4982.352057000533
2015-01-05,4803.82286618373
2015-01-06,4794.321415137327
2015-01-07,4770.982339757955
2015-01-08,4922.828213170073
2015-01-09,4856.024024524442
2015-01-12,4910.690138287798
2015-01-13,4973.244101491506
2015-01-14,4915.517951760178
2015-01-15,4936.961328414804
2015-01-16,4963.37624944275
2015-01-19,5058.3308509827875
2015-01-20,5041.273126279812
2015-01-21,5068.107782202954
2015-01-22,5060.432807591115
2015-01-23,5090.992907515519
2015-01-26,5162.871182727044
2015-01-27,5148.267498277838
2015-01-28,5157.8764940122755
2015-01-29,5168.138764841191
2015-01-30,5122.005393733768
2015-02-02,5210.18493516791
2015-02-03,5287.753950854782
2015-02-04,5290.610724583664
2015-02-05,5292.680022737091
2015-02-06,5225.919970665026
2015-02-09,5133.8133386230875
2015-02-10,5172.584165868684
2015-02-11,5163.058518334154
2015-02-12,5279.316359975612
2015-02-13,5313.369940972602
2015-02-16,5293.228303581668
2015-02-17,5277.582848816029
2015-02-18,5295.1032429153365
2015-02-19,5331.0087402206
2015-02-20,5341.049924531933
2015-02-23,5377.1664702844655
2015-02-24,5400.066404609097
2015-02-25,5409.564858175056
2015-02-26,5399.520986106736
2015-02-27,5433.019722035498
2015-03-02,5429.783045122947
2015-03-03,5361.197687810394
2015-03-04,5351.416996262237
2015-03-05,5383.916317569457
2015-03-06,5320.829728489092
2015-03-09,5326.148573900098
2015-03-10,5225.55953744084
2015-03-11,5295.654453750412
2015-03-12,5314.817025910728
2015-03-13,5312.78910764434
2015-03-16,5456.74352888819
2015-03-17,5388.430272031412
2015-03-18,5381.178010240267
2015-03-19,5367.468211944364
2015-03-20,5513.721478642465
2015-03-23,5513.616428045742
2015-03-24,5553.848467898592
2015-03-25,5531.716717061134
2015-03-26,5482.756724893855
2015-03-27,5481.907173711642
2015-03-30,5549.202957383432
2015-03-31,5449.613661778673
2015-04-01,5475.691973195353
2015-04-02,5521.985611962673
2015-04-03,5521.985611962674
2015-04-06,5598.605857991281
2015-04-07,5580.698611723848
2015-04-08,5509.100030567005
2015-04-09,5511.538639198183
2015-04-10,5577.312280301949
2015-04-13,5533.026597286781
2015-04-14,5548.482255252342
2015-04-15,5503.510017882609
2015-04-16,5446.840191273444
2015-04-17,5348.520713861757
2015-04-20,5424.448273920641
2015-04-21,5441.752539994683
2015-04-22,5397.058102468864
2015-04-23,5372.183933604839
2015-04-24,5437.75423439227
2015-04-27,5549.832376949162
2015-04-28,5494.026108160493
